,C22,C64,C88,C117,C119A,C26A,C26B,C68A,C68B,C107A,C107B,C127,C137A,C137B,C172A,C172B,C27A,C27B,C69A,C69B,C108A,C108B,C138A,C138B,C173A,C173B,C29A,C29B,C71A,C71B,C39,C81,C110,C140,C17,C57,C41,C83,C112,C130,C142,C175
761,37.21,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
762,4.65,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
763,37.21,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
764,18.6,,,,,22.0,23.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
765,41.86,,,,,22.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,2.0,1.0,,,No,,,,Fixed monthly fee,,No,,,,,
766,11.63,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,18.6,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,4.65,,,,,,24.0,,,,,,,,,2.0,,4.0,,,,,,,,4.0,,1.0,,,No,,,,Pre-paid,,No,,,,,No
774,74.42,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,Yes,,,,Other,,No,,,,,
775,4.65,,,,,Don't know,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,No,,,,Other,,No,,,,,
776,,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,No bill for electricity,,No,,,,,
777,9.3,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
778,23.26,,,,,22.0,23.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
779,18.6,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,23.26,,,,,22.0,23.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
787,,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,No bill for electricity,,No,,,,,
788,11.63,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
789,2.33,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Other,,Yes,,,,,
790,27.91,,,,,22.0,23.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
791,9.3,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Other,,No,,,,,
792,27.91,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,32.56,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
795,23.26,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
796,23.26,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
797,69.77,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
798,34.88,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
799,23.26,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
800,139.53,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,6.0,,,No,,,,Pre-paid,,No,,,,,
801,46.51,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
802,69.77,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
803,13.95,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Fixed monthly fee,,No,,,,,
804,9.3,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
805,46.51,,,,,18.0,20.0,,,,,,,,,,4.0,4.0,,,,,,,,,3.0,1.0,,,No,,,,Pre-paid,,No,,,,,
806,18.6,,,,,,21.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
807,23.26,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
808,27.91,,,,,,22.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
809,18.6,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
810,93.02,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
811,23.26,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
812,27.91,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
813,18.6,,,,,,24.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
814,16.28,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
815,32.56,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,No,,,,Pre-paid,,No,,,,,
816,13.95,,,,,,24.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
817,18.6,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,5.0,,,No,,,,Pre-paid,,No,,,,,
818,23.26,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
819,13.95,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
820,,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
821,139.53,,,,,,22.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,Don?t know,,,,Pre-paid,,No,,,,,
822,18.6,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
823,20.93,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
824,27.91,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
825,37.21,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
826,9.3,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
827,37.21,,,,,20.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
828,93.02,,,,,20.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
829,18.6,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
830,23.26,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
831,32.56,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
832,13.95,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
833,,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
834,55.81,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
835,139.53,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
836,23.26,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
837,32.56,,,,,20.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,2.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
838,13.95,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
839,9.3,,,,,,22.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
840,9.3,,,,,19.0,20.0,,,,,,,,,,3.0,3.0,,,,,,,,,1.0,1.0,,,Yes,,,,Fixed monthly fee,,No,,,,,
841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,37.21,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
843,27.91,,,,,22.0,22.0,,,,,,,,,,3.0,3.0,,,,,,,,,2.0,2.0,,,Yes,,,,Pre-paid,,No,,,,,
844,23.26,,,,,20.0,22.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,Don't know,,,No,,,,Pre-paid,,No,,,,,
845,4.65,,,,,,22.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Other,,No,,,,,
846,23.26,,,,,20.0,23.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
847,6.98,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
848,37.21,,,,,,22.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
849,27.91,,,,,20.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,Don't know,,,No,,,,Pre-paid,,No,,,,,
850,13.95,,,,,Don't know,Don't know,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,Don't know,,,No,,,,Pre-paid,,No,,,,,
851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
858,13.95,,,,,Don't know,Don't know,,,,,,,,,,Don't know,Don't know,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
859,23.26,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
860,18.6,,,,,23.0,23.0,,,,,,,,,,2.0,3.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
861,18.6,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,23.26,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
869,18.6,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
870,27.91,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
871,65.12,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
872,93.02,,,,,2.0,20.0,,,,,,,,,12.0,2.0,3.0,,,,,,,,2.0,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,No
873,23.26,,,,,Don't know,Don't know,,,,,,,,,,Don't know,Don't know,,,,,,,,,Don't know,2.0,,,Yes,,,,Pre-paid,,No,,,,,
874,18.6,,,,,24.0,24.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
875,69.77,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
876,,,,,,Don't know,Don't know,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
877,69.77,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
878,46.51,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
879,93.02,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
880,27.91,,,,,,21.0,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,No,,,,Pre-paid,,No,,,,,
881,18.6,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
882,4.65,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Fixed monthly fee,,No,,,,,
883,93.02,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
884,23.26,,,,,24.0,Don't know,,,,,,,,,,3.0,Don't know,,,,,,,,,1.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
885,93.02,,,,,Don't know,Don't know,,,,,,,,,,Don't know,Don't know,,,,,,,,,Don't know,1.0,,,No,,,,Pre-paid,,No,,,,,
886,18.6,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
887,37.21,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
888,4.65,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
889,4.65,,,,,20.0,22.0,,,,,,,,,,3.0,3.0,,,,,,,,,3.0,2.0,,,No,,,,Pre-paid,,No,,,,,
890,23.26,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
891,23.26,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
892,23.26,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,46.51,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
895,23.26,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
896,23.26,,,,,,21.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
897,37.21,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,23.26,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,Don?t know,,,,Pre-paid,,No,,,,,
900,18.6,,,,,20.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
901,6.98,,,,,20.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,Don't know,1.0,,,No,,,,Other,,No,,,,,
902,18.6,,,,,23.0,24.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
903,27.91,,,,,5.0,20.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
905,76.74,,,,,22.0,22.0,,,,,,,,,,2.0,2.0,,,,,,,,,Don't know,2.0,,,Don?t know,,,,Pre-paid,,No,,,,,
906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
907,23.26,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
908,,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
909,,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,No bill for electricity,,No,,,,,
910,13.95,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Fixed monthly fee,,No,,,,,
911,69.77,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,46.51,,,,,Don't know,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
914,41.86,,,,,Don't know,22.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,2.0,,,No,,,,Pre-paid,,No,,,,,
915,186.05,,,,,20.0,22.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
916,69.77,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
917,18.6,,,,,16.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
918,46.51,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
919,37.21,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
920,46.51,,,,,Don't know,22.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,No,,,,Pre-paid,,No,,,,,
921,88.37,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
922,186.05,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
923,23.26,,,,,,22.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
924,18.6,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
925,18.6,,,,,,24.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
926,23.26,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
927,46.51,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,5.0,,,No,,,,Pre-paid,,No,,,,,
928,37.21,,,,,,21.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
929,23.26,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,No,,,,Pre-paid,,No,,,,,
930,46.51,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
931,,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
932,37.21,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
933,27.91,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
934,46.51,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
935,,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
936,,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,18.6,,,,,,22.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
939,46.51,,,,,20.0,22.0,,,,,,,,,,1.0,3.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
940,,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
941,139.53,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
942,18.6,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
943,13.95,,,,,,20.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
944,69.77,,,,,2.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
945,69.77,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,No,,,,Pre-paid,,No,,,,,
946,46.51,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,2.33,,,,,,14.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Fixed monthly fee,,No,,,,,
953,4.65,,,,,12.0,12.0,,,,,,,,,,1.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
954,4.65,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Fixed monthly fee,,No,,,,,
955,4.65,,,,,13.0,Don't know,,,,,,,,,,3.0,3.0,,,,,,,,,Don't know,1.0,,,No,,,,Pre-paid,,No,,,,,
956,2.33,,,,,,12.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
957,4.65,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
958,18.6,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
959,4.65,,,,,22.0,Don't know,,,,,,,,,,2.0,4.0,,,,,,,,,5.0,2.0,,,No,,,,Pre-paid,,No,,,,,
960,13.95,,,,,Don't know,Don't know,,,,,,,,,,1.0,Don't know,,,,,,,,,Don't know,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
961,11.63,,,,,16.0,20.0,,,,,,,,,,2.0,4.0,,,,,,,,,6.0,5.0,,,Yes,,,,Pre-paid,,No,,,,,
962,4.65,,,,,24.0,24.0,,,,,,,,,,3.0,3.0,,,,,,,,,5.0,3.0,,,No,,,,Pre-paid,,No,,,,,
963,9.3,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
964,2.33,,,,,,Don't know,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
965,4.65,,,,,Don't know,24.0,,,,,,,,,,4.0,4.0,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
966,4.65,,,,,15.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,4.0,Don't know,,,No,,,,Pre-paid,,No,,,,,
967,2.33,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
968,37.21,,,,,Don't know,24.0,,,,,,,,,,4.0,4.0,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
969,4.65,,,,,,Don't know,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
970,2.33,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,Don't know,23.0,,,,,,,,,,Don't know,4.0,,,,,,,,,7.0,2.0,,,Yes,,,,No bill for electricity,,No,,,,,
977,4.65,,,,,,Don't know,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
978,18.6,,,,,20.0,23.0,,,,,,,,,,2.0,4.0,,,,,,,,,8.0,3.0,,,Yes,,,,Pre-paid,,No,,,,,
979,4.65,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
