,C22,C64,C88,C117,C119A,C26A,C26B,C68A,C68B,C107A,C107B,C127,C137A,C137B,C172A,C172B,C27A,C27B,C69A,C69B,C108A,C108B,C138A,C138B,C173A,C173B,C29A,C29B,C71A,C71B,C39,C81,C110,C140,C17,C57,C41,C83,C112,C130,C142,C175
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,18.6,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
56,20.93,,,,,2.0,14.0,,,,,,,,,,1.0,3.0,,,,,,,,,3.0,2.0,,,Yes,,,,Pre-paid,,No,,,,,
57,4.65,,,,,22.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
58,4.65,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,27.91,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
61,93.02,,,,,,12.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
62,13.95,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,23.26,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
66,32.56,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
67,4.65,,,,,,12.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Fixed monthly fee,,No,,,,,
68,23.26,,,,,Don't know,Don't know,,,,,,,,,,Don't know,Don't know,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
71,37.21,,,,,2.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
72,46.51,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
73,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,No
74,116.28,,,,,12.0,22.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
75,,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,Don?t know,,,,Pre-paid,,No,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,195.35,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,Yes,,,,Fixed monthly fee,,No,,,,,
78,9.3,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
79,41.86,,,,,,21.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
80,13.95,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
81,37.21,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,23.26,,,,,20.0,21.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,2.0,,,No,,,,Pre-paid,,No,,,,,
84,4.65,,,,,22.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
85,46.51,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
86,18.6,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
87,9.3,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
88,23.26,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
90,18.6,,,,,,22.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
92,13.95,,,,,22.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
93,186.05,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
94,18.6,,,,,,18.0,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,No,,,,Pre-paid,,No,,,,,
95,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
96,23.26,,,,,15.0,23.0,,,,,,,,,,2.0,4.0,,,,,,,,,3.0,1.0,,,No,,,,Pre-paid,,No,,,,,
97,18.6,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,No,,,,Pre-paid,,No,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
99,,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,Don?t know,,,,Pre-paid,,No,,,,,
100,13.95,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
101,18.6,,,,0.0,,12.0,,,,,24.0,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,No,,
102,55.81,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
103,37.21,,,,,22.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,Don't know,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
104,55.81,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
105,9.3,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
106,13.95,,,,,,22.0,,,,,,,,,,,3.0,,,,,,,,,,5.0,,,No,,,,Pre-paid,,No,,,,,
107,27.91,,,,,22.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
108,46.51,,,,,15.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,Yes,,,,Other,,No,,,,,
109,9.3,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,13.95,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
112,18.6,,,,,15.0,23.0,,,,,,,,,,3.0,4.0,,,,,,,,,3.0,1.0,,,No,,,,Pre-paid,,No,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
116,9.3,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
117,9.3,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
118,6.98,,,,,,21.0,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,No,,,,Monthly bill,,No,,,,,
119,9.3,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
120,69.77,,,,,,Don't know,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
121,13.95,,,,,,6.0,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,No,,,,Pre-paid,,No,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,23.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
