,Total_Capacity_in_kWh_month,Total_Availability_day_in_hours,Total_Availability_evening_in_hours,Total_Reliability,Total_Quality,Total_Legality,Total_Health
122,0.0,,Missing_data,Missing_data,,-1,
123,0.0,23.0,3.0,Missing_data,No,1,No
124,0.0,,Missing_data,Missing_data,,-1,
125,18.6,12.0,4.0,1.0,Yes,1,No
126,4.65,3.0,2.0,Missing_data,No,1,No
127,9.3,,Missing_data,Missing_data,No,1,No
128,18.6,20.0,4.0,Missing_data,No,1,No
129,23.26,12.0,4.0,Missing_data,No,1,No
130,13.95,24.0,4.0,Missing_data,Yes,1,No
131,46.51,24.0,4.0,Missing_data,No,1,No
132,0.0,,Missing_data,Missing_data,,-1,
133,9.3,11.0,4.0,1.0,No,1,No
134,0.0,,Missing_data,Missing_data,,-1,
135,9.3,20.0,4.0,Missing_data,Missing_data,1,No
136,2.33,24.0,4.0,Missing_data,No,1,No
137,2.33,24.0,4.0,Missing_data,No,1,No
138,23.26,23.0,4.0,Missing_data,No,1,No
139,18.6,24.0,4.0,Missing_data,No,1,No
140,9.3,14.0,1.0,1.0,No,1,No
141,0.0,,Missing_data,Missing_data,,-1,
142,2.33,12.0,4.0,Missing_data,No,3,No
143,0.0,,Missing_data,Missing_data,,-1,
144,23.26,23.0,3.0,1.0,No,1,No
145,18.6,10.0,3.0,Missing_data,No,1,No
146,32.56,23.0,4.0,Missing_data,No,1,No
147,23.26,20.0,4.0,Missing_data,No,1,No
148,23.26,24.0,4.0,Missing_data,No,1,No
149,83.72,24.0,4.0,Missing_data,No,1,No
150,37.21,23.0,4.0,Missing_data,Yes,1,No
151,0.0,20.0,4.0,Missing_data,No,1,No
152,46.51,20.0,4.0,5.0,No,1,No
153,27.91,,Missing_data,Missing_data,No,1,No
154,46.51,20.0,4.0,Missing_data,No,1,No
155,46.51,14.0,3.0,Missing_data,No,1,No
156,4.65,24.0,4.0,Missing_data,No,2,No
157,139.53,23.0,4.0,Missing_data,Yes,1,No
158,0.0,,Missing_data,Missing_data,,-1,
159,0.0,,Missing_data,Missing_data,,-1,
160,4.65,12.0,4.0,Missing_data,No,1,No
161,18.6,23.0,3.0,Missing_data,No,2,No
162,9.3,,Missing_data,Missing_data,No,1,No
163,13.95,,Missing_data,Missing_data,No,1,No
164,0.0,,Missing_data,Missing_data,,0,
165,6.98,5.0,3.0,1.0,No,1,No
166,4.65,12.0,4.0,1.0,No,1,No
167,0.0,,Missing_data,Missing_data,,0,
168,0.0,,Missing_data,Missing_data,,0,
169,0.0,,4.0,Missing_data,No,4,No
170,18.6,23.0,4.0,Missing_data,No,1,No
171,0.0,,Missing_data,Missing_data,,-1,
172,13.95,22.0,4.0,1.0,Missing_data,1,No
173,13.95,20.0,4.0,3.0,No,1,No
174,4.65,24.0,4.0,Missing_data,No,1,No
175,139.53,24.0,4.0,Missing_data,Yes,1,No
176,37.21,23.0,4.0,Missing_data,No,1,No
177,18.6,21.0,4.0,Missing_data,No,1,No
178,23.26,1.0,1.0,1.0,Missing_data,1,No
179,32.56,23.0,4.0,Missing_data,No,1,No
180,4.65,4.0,1.0,1.0,Yes,1,No
181,13.95,3.0,2.0,1.0,Yes,2,No
182,0.0,,Missing_data,Missing_data,,-1,
183,4.65,20.0,1.0,6.0,No,2,No
184,18.6,5.0,3.0,2.0,Yes,1,No
185,0.0,,Missing_data,Missing_data,,-1,
186,0.0,,Missing_data,Missing_data,,0,
187,0.0,,Missing_data,Missing_data,,-1,
188,4.65,12.0,1.0,Missing_data,No,1,No
189,0.0,,Missing_data,Missing_data,,-1,
190,23.26,1.0,1.0,1.0,Yes,1,No
191,23.26,24.0,4.0,Missing_data,No,1,No
192,0.0,14.0,2.0,2.0,No,2,No
193,4.65,20.0,3.0,Missing_data,No,1,No
194,0.0,,Missing_data,Missing_data,,-1,
195,0.0,,Missing_data,Missing_data,,-1,
196,18.6,20.0,4.0,Missing_data,No,1,No
197,13.95,10.0,3.0,2.0,No,1,No
198,4.65,24.0,4.0,Missing_data,No,1,No
199,9.3,19.0,1.0,2.0,No,1,No
200,0.0,,Missing_data,Missing_data,,-1,
201,6.98,18.0,3.0,Missing_data,Missing_data,1,No
202,9.3,19.0,1.0,1.0,No,1,No
203,37.21,15.0,2.0,2.0,No,1,No
204,0.0,,Missing_data,Missing_data,,-1,
205,0.0,,Missing_data,Missing_data,,-1,
206,0.0,,Missing_data,Missing_data,,-1,
207,0.0,,Missing_data,Missing_data,,-1,
208,0.0,,Missing_data,Missing_data,,-1,
209,0.0,,Missing_data,Missing_data,,-1,
210,0.0,,Missing_data,Missing_data,,-1,
211,0.0,,Missing_data,Missing_data,,-1,
212,0.0,,Missing_data,Missing_data,,-1,
213,0.0,,Missing_data,Missing_data,,-1,
214,0.0,,Missing_data,Missing_data,,-1,
215,0.0,,Missing_data,Missing_data,,-1,
216,13.95,12.0,3.0,2.0,No,1,No
217,9.3,23.0,4.0,1.0,No,1,No
218,0.0,21.0,4.0,Missing_data,No,1,No
219,6.98,1.0,3.0,Missing_data,No,1,No
220,32.56,,4.0,Missing_data,No,1,No
221,9.3,7.0,3.0,Missing_data,No,1,No
222,13.95,22.0,2.0,Missing_data,No,1,No
223,4.65,22.0,4.0,Missing_data,Yes,1,No
224,13.95,23.0,3.0,Missing_data,No,1,No
225,23.26,22.0,3.0,1.0,No,1,No
226,4.65,6.0,3.0,Missing_data,No,1,No
227,9.3,12.0,2.0,1.0,No,1,No
228,4.65,23.0,4.0,Missing_data,No,1,No
229,27.91,23.0,4.0,Missing_data,Yes,1,No
230,0.0,23.0,4.0,1.0,No,1,No
231,18.6,18.0,3.0,Missing_data,No,1,No
232,13.95,12.0,4.0,Missing_data,No,1,No
233,18.6,22.0,4.0,Missing_data,No,1,No
234,23.26,4.0,2.0,Missing_data,No,1,No
235,18.6,24.0,4.0,Missing_data,No,1,No
236,0.0,17.0,3.0,Missing_data,No,1,No
237,27.91,21.0,3.0,3.0,No,1,No
238,0.0,24.0,4.0,Missing_data,No,1,No
239,0.0,21.0,4.0,Missing_data,No,1,No
240,0.0,,Missing_data,Missing_data,,-1,
241,0.0,,Missing_data,Missing_data,,-1,
242,9.3,15.0,3.0,1.0,No,1,No
243,9.3,20.0,3.0,1.0,Missing_data,1,No
244,0.0,,Missing_data,Missing_data,,-1,
245,46.51,20.0,3.0,2.0,No,2,Yes
246,18.6,22.0,4.0,Missing_data,Yes,1,No
247,13.95,22.0,3.0,1.0,No,1,No
248,41.86,13.0,3.0,1.0,Yes,1,No
249,6.98,20.0,4.0,2.0,Yes,1,No
250,0.0,,Missing_data,Missing_data,,-1,
251,18.6,5.0,2.0,2.0,No,1,No
252,6.98,20.0,1.0,Missing_data,No,1,No
253,11.63,12.0,4.0,Missing_data,No,1,No
254,18.6,20.0,3.0,Missing_data,No,1,No
255,69.77,23.0,4.0,Missing_data,Yes,1,No
256,32.56,22.0,3.0,1.0,No,1,No
257,9.3,7.0,3.0,1.0,No,1,No
258,23.26,21.0,4.0,Missing_data,Yes,1,No
259,6.98,20.0,3.0,Missing_data,No,1,No
260,37.21,24.0,4.0,1.0,No,1,No
261,23.26,24.0,4.0,Missing_data,Yes,1,No
262,18.6,23.0,4.0,Missing_data,No,2,No
263,27.91,20.0,4.0,Missing_data,No,1,No
264,4.65,24.0,4.0,Missing_data,No,1,No
265,46.51,24.0,4.0,Missing_data,No,1,No
266,9.3,23.0,4.0,Missing_data,No,1,No
267,0.0,,Missing_data,Missing_data,,0,
268,4.65,12.0,4.0,Missing_data,No,2,No
269,18.6,23.0,1.0,Missing_data,No,1,No
270,4.65,24.0,4.0,Missing_data,No,2,No
271,162.79,23.0,4.0,Missing_data,No,1,No
272,23.26,23.0,4.0,Missing_data,No,1,No
273,13.95,24.0,4.0,Missing_data,No,1,No
274,23.26,23.0,4.0,Missing_data,No,1,No
275,4.65,24.0,4.0,Missing_data,No,1,No
276,37.21,24.0,4.0,Missing_data,No,1,No
