,Total_Capacity_in_kWh_month,Total_Availability_day_in_hours,Total_Availability_evening_in_hours,Total_Reliability,Total_Quality,Total_Legality,Total_Health
536,9.3,20.0,4.0,Missing_data,No,1,No
537,4.65,8.0,3.0,1.0,No,1,No
538,9.3,5.0,2.0,Missing_data,No,1,No
539,4.65,,3.0,Missing_data,No,1,No
540,0.0,,Missing_data,Missing_data,,-1,
541,0.0,,Missing_data,Missing_data,,-1,
542,0.0,,Missing_data,Missing_data,,-1,
543,0.0,,Missing_data,Missing_data,,-1,
544,0.0,,Missing_data,Missing_data,,-1,
545,9.3,,Missing_data,Missing_data,No,1,No
546,0.0,,Missing_data,Missing_data,,-1,
547,32.56,24.0,4.0,Missing_data,Yes,1,No
548,18.6,24.0,4.0,Missing_data,Yes,1,No
549,18.6,24.0,4.0,Missing_data,No,1,No
550,4.65,23.0,4.0,Missing_data,No,2,No
551,0.0,,Missing_data,Missing_data,,-1,
552,0.0,,Missing_data,Missing_data,,-1,
553,0.0,,Missing_data,Missing_data,,-1,
554,0.0,,Missing_data,Missing_data,,-1,
555,0.0,,Missing_data,Missing_data,,-1,
556,0.0,,Missing_data,Missing_data,,-1,
557,13.95,2.0,2.0,Missing_data,Yes,1,No
558,20.93,11.0,1.0,Missing_data,Missing_data,1,No
559,9.3,23.0,4.0,Missing_data,No,1,No
560,13.95,24.0,4.0,Missing_data,Yes,1,No
561,0.0,21.0,4.0,Missing_data,No,1,No
562,400.0,18.0,3.0,Missing_data,No,1,No
563,37.21,11.0,3.0,Missing_data,No,1,No
564,0.0,,Missing_data,Missing_data,,-1,
565,0.0,,Missing_data,Missing_data,,-1,
566,0.0,,Missing_data,Missing_data,,-1,
567,0.0,,Missing_data,Missing_data,,-1,
568,23.26,22.0,3.0,1.0,Missing_data,1,No
569,37.21,24.0,4.0,Missing_data,No,3,No
570,18.6,22.0,3.0,1.0,Missing_data,1,No
571,13.95,23.0,3.0,1.0,Missing_data,1,No
572,37.21,24.0,4.0,Missing_data,No,2,No
573,46.51,20.0,2.0,Missing_data,Yes,2,No
574,9.3,22.0,3.0,2.0,Missing_data,1,No
575,11.63,24.0,4.0,Missing_data,No,1,No
576,9.3,24.0,4.0,Missing_data,No,1,No
577,0.0,,Missing_data,Missing_data,,0,
578,18.6,10.0,3.0,Missing_data,No,1,No
579,18.6,15.0,4.0,Missing_data,No,1,No
580,9.3,,Missing_data,Missing_data,No,1,No
581,13.95,23.0,3.0,2.0,No,1,No
582,0.0,,Missing_data,Missing_data,,-1,
583,16.28,24.0,4.0,Missing_data,Yes,1,No
584,0.0,,4.0,Missing_data,No,1,No
585,69.77,,4.0,Missing_data,No,1,No
586,46.51,,1.0,2.0,Yes,1,No
587,0.0,,Missing_data,Missing_data,,0,
588,23.26,24.0,4.0,Missing_data,Yes,1,No
589,18.6,23.0,4.0,Missing_data,No,2,No
590,0.0,,Missing_data,Missing_data,,0,
591,0.0,,Missing_data,Missing_data,,0,
592,139.53,,2.0,Missing_data,Yes,1,No
593,0.0,24.0,4.0,Missing_data,No,1,No
594,27.91,23.0,4.0,Missing_data,No,1,No
595,25.58,21.0,3.0,1.0,No,1,No
596,46.51,12.0,4.0,1.0,No,1,No
597,27.91,22.0,3.0,Missing_data,Yes,1,Yes
598,325.58,22.0,3.0,1.0,No,1,No
599,116.28,,4.0,Missing_data,No,1,No
600,46.51,22.0,4.0,Missing_data,No,1,No
601,0.0,,Missing_data,Missing_data,,-1,
602,4.65,24.0,4.0,Missing_data,No,1,No
603,9.3,23.0,4.0,Missing_data,No,2,No
604,0.0,,Missing_data,Missing_data,,-1,
605,0.0,,Missing_data,Missing_data,,0,
606,13.95,,Missing_data,Missing_data,No,1,No
607,18.6,18.0,3.0,Missing_data,No,1,No
608,9.3,22.0,4.0,Missing_data,No,1,No
609,4.65,12.0,4.0,Missing_data,No,1,No
610,27.91,23.0,4.0,Missing_data,No,2,No
611,23.26,23.0,4.0,Missing_data,No,1,No
612,0.0,,Missing_data,Missing_data,,-1,
613,0.0,,Missing_data,Missing_data,,-1,
614,0.0,,Missing_data,Missing_data,,-1,
615,27.91,23.0,4.0,Missing_data,No,1,No
616,46.51,23.0,4.0,Missing_data,No,1,No
617,0.0,,Missing_data,Missing_data,Yes,1,No
618,13.95,23.0,4.0,Missing_data,Yes,1,No
619,13.95,23.0,4.0,Missing_data,No,1,No
620,9.3,22.0,4.0,Missing_data,No,1,No
621,0.0,23.0,3.0,1.0,No,1,No
622,9.3,22.0,3.0,Missing_data,No,1,No
623,27.91,22.0,4.0,Missing_data,Yes,1,No
624,0.0,,Missing_data,Missing_data,,-1,
625,0.0,,Missing_data,Missing_data,,-1,
626,0.0,,Missing_data,Missing_data,,-1,
627,0.0,,Missing_data,Missing_data,,-1,
628,0.0,,Missing_data,Missing_data,,-1,
629,18.6,20.0,3.0,3.0,No,1,No
630,27.91,12.0,3.0,Missing_data,Missing_data,1,No
631,27.91,24.0,4.0,Missing_data,No,1,No
632,0.0,,Missing_data,Missing_data,,-1,
633,18.6,22.0,4.0,Missing_data,No,1,No
634,0.0,24.0,4.0,Missing_data,No,1,No
635,9.3,5.0,3.0,Missing_data,No,1,No
636,0.0,,Missing_data,Missing_data,,-1,
637,0.0,,Missing_data,Missing_data,,0,
638,0.0,,Missing_data,Missing_data,,0,
639,0.0,,Missing_data,Missing_data,,-1,
640,0.0,,Missing_data,Missing_data,,-1,
641,0.0,,Missing_data,Missing_data,,0,
642,2.33,3.0,1.0,2.0,Yes,1,No
643,0.0,,Missing_data,Missing_data,,-1,
644,0.0,,Missing_data,Missing_data,,-1,
645,9.3,6.0,2.0,2.0,No,1,No
646,0.0,,Missing_data,Missing_data,,-1,
647,0.0,,Missing_data,Missing_data,,-1,
648,0.0,,Missing_data,Missing_data,,-1,
649,0.0,,Missing_data,Missing_data,,-1,
650,0.0,,Missing_data,Missing_data,,-1,
651,0.0,,Missing_data,Missing_data,,-1,
652,0.0,,Missing_data,Missing_data,,-1,
653,18.602,20.0,2.0,Missing_data,No,1,No
654,23.26,22.0,4.0,1.0,No,1,No
655,13.95,24.0,4.0,Missing_data,No,1,No
656,16.28,24.0,4.0,Missing_data,No,1,No
657,18.6,22.0,4.0,Missing_data,No,1,No
658,4.65,23.0,4.0,Missing_data,No,1,No
659,0.0,12.0,3.0,Missing_data,No,1,No
660,0.0,,Missing_data,Missing_data,,-1,
661,0.0,,Missing_data,Missing_data,,-1,
662,0.0,,Missing_data,Missing_data,,-1,
663,18.6,4.0,3.0,5.0,No,1,No
664,0.0,,Missing_data,Missing_data,,-1,
665,6.98,24.0,4.0,Missing_data,No,1,No
666,27.91,10.0,1.0,3.0,No,3,No
667,0.0,,Missing_data,Missing_data,,-1,
668,27.91,15.0,2.0,4.0,No,1,No
669,9.3,6.0,3.0,3.0,Missing_data,1,No
670,69.77,5.0,4.0,2.0,No,1,No
671,0.0,,Missing_data,Missing_data,,-1,
672,0.0,,Missing_data,Missing_data,,-1,
673,0.0,,Missing_data,Missing_data,,-1,
674,0.0,,Missing_data,Missing_data,,-1,
675,0.0,,Missing_data,Missing_data,,-1,
676,0.0,,Missing_data,Missing_data,,-1,
677,13.95,23.0,4.0,Missing_data,Yes,2,No
678,0.0,,Missing_data,Missing_data,,0,
679,0.0,,Missing_data,Missing_data,,0,
680,18.6,21.0,4.0,Missing_data,No,1,No
681,27.91,22.0,4.0,Missing_data,No,1,No
682,6.98,20.0,4.0,Missing_data,No,1,No
683,4.65,20.0,4.0,Missing_data,No,1,No
684,0.0,,Missing_data,Missing_data,,-1,
685,0.0,,Missing_data,Missing_data,,-1,
686,0.0,,Missing_data,Missing_data,,-1,
687,0.0,,Missing_data,Missing_data,,-1,
688,0.0,,Missing_data,Missing_data,,-1,
689,32.56,,Missing_data,Missing_data,No,1,No
690,23.26,24.0,3.0,2.0,No,1,No
691,2.33,24.0,4.0,Missing_data,No,1,No
692,27.91,24.0,4.0,Missing_data,Yes,1,No
693,58.14,23.0,4.0,Missing_data,No,1,No
694,37.21,20.0,Missing_data,Missing_data,No,1,No
695,9.3,24.0,4.0,Missing_data,No,1,No
696,0.0,,Missing_data,Missing_data,,-1,
697,0.0,,Missing_data,Missing_data,,-1,
698,0.0,,Missing_data,Missing_data,,-1,
699,0.0,,Missing_data,Missing_data,,-1,
700,0.0,,Missing_data,Missing_data,,-1,
701,2.33,22.0,3.0,1.0,Missing_data,1,No
702,4.65,24.0,4.0,Missing_data,No,1,No
703,27.91,22.0,3.0,1.0,Missing_data,1,No
704,18.6,24.0,4.0,Missing_data,No,1,No
705,9.3,23.0,4.0,Missing_data,No,1,No
706,13.95,17.0,2.0,1.0,No,1,No
707,4.65,23.0,4.0,Missing_data,No,1,No
708,18.6,18.0,2.0,1.0,No,1,No
709,0.0,,Missing_data,Missing_data,,-1,
710,4.65,24.0,4.0,Missing_data,No,1,No
711,0.0,,Missing_data,Missing_data,,-1,
712,0.0,,Missing_data,Missing_data,,-1,
713,0.0,,Missing_data,Missing_data,,-1,
714,2.33,22.0,3.0,1.0,Missing_data,1,No
715,9.3,22.0,3.0,1.0,Missing_data,1,No
716,9.3,24.0,4.0,Missing_data,No,1,No
717,0.0,,Missing_data,Missing_data,,0,
718,4.65,23.0,4.0,Missing_data,No,1,No
719,0.0,,Missing_data,Missing_data,,0,
720,18.6,20.0,4.0,1.0,No,1,No
721,18.6,23.0,4.0,Missing_data,No,1,No
722,23.26,23.0,4.0,Missing_data,Missing_data,1,No
723,0.0,,Missing_data,Missing_data,,0,
724,18.6,24.0,4.0,Missing_data,Yes,1,No
725,23.26,24.0,4.0,Missing_data,Yes,1,No
726,23.26,24.0,4.0,Missing_data,No,1,No
727,16.28,23.0,4.0,Missing_data,No,1,No
728,18.6,,4.0,Missing_data,Missing_data,1,No
729,0.0,,Missing_data,Missing_data,,0,
730,9.3,20.0,2.0,1.0,Yes,1,No
731,0.0,,Missing_data,Missing_data,,0,
732,37.21,24.0,4.0,Missing_data,No,1,No
733,55.81,24.0,4.0,Missing_data,No,1,No
734,23.26,20.0,2.0,1.0,Yes,1,No
735,13.95,,Missing_data,2.0,No,1,No
736,23.26,23.0,4.0,1.0,No,1,No
737,0.0,,4.0,Missing_data,Yes,1,No
738,23.26,20.0,3.0,2.0,No,1,No
739,69.77,22.0,3.0,Missing_data,No,1,No
740,0.0,,Missing_data,Missing_data,,-1,
741,55.81,22.0,4.0,Missing_data,No,1,No
742,18.6,24.0,4.0,Missing_data,No,1,No
743,23.26,22.0,4.0,Missing_data,No,1,No
744,0.0,,Missing_data,Missing_data,No,6,No
745,0.0,,Missing_data,Missing_data,,-1,
746,0.0,,Missing_data,Missing_data,,-1,
747,0.0,,Missing_data,Missing_data,,-1,
748,0.0,,Missing_data,Missing_data,,-1,
749,9.3,15.0,2.0,1.0,Yes,1,No
750,6.98,24.0,4.0,Missing_data,Yes,1,No
751,9.3,23.0,3.0,Missing_data,No,4,No
752,18.6,22.0,3.0,1.0,Missing_data,1,No
753,18.6,23.0,4.0,Missing_data,No,1,No
754,23.26,23.0,4.0,Missing_data,No,1,No
755,0.0,,Missing_data,Missing_data,,0,
756,9.301,20.0,4.0,Missing_data,Missing_data,1,No
757,0.0,,Missing_data,Missing_data,,-1,
758,0.0,,Missing_data,Missing_data,,-1,
759,18.6,22.0,3.0,1.0,Missing_data,1,No
760,18.6,24.0,4.0,Missing_data,No,1,No
761,37.21,23.0,4.0,Missing_data,Missing_data,1,No
762,4.65,23.0,4.0,Missing_data,No,1,No
763,37.21,22.0,4.0,Missing_data,No,1,No
764,18.6,22.0,3.0,2.0,Missing_data,1,No
765,41.86,22.0,2.0,2.0,No,2,No
766,11.63,24.0,4.0,Missing_data,No,1,No
767,0.0,,Missing_data,Missing_data,,-1,
768,0.0,,Missing_data,Missing_data,,-1,
769,0.0,,Missing_data,Missing_data,,-1,
770,18.6,24.0,4.0,Missing_data,No,1,No
771,0.0,,Missing_data,Missing_data,,-1,
772,0.0,,Missing_data,Missing_data,,-1,
773,4.65,24.0,4.0,Missing_data,No,1,No
774,74.42,24.0,4.0,Missing_data,Yes,3,No
775,4.65,24.0,3.0,2.0,No,3,No
776,0.0,24.0,4.0,Missing_data,No,6,No
777,9.3,23.0,4.0,Missing_data,No,1,No
778,23.26,22.0,3.0,1.0,Missing_data,1,No
779,18.6,24.0,4.0,Missing_data,No,1,No
780,0.0,,Missing_data,Missing_data,,-1,
781,0.0,,Missing_data,Missing_data,,-1,
782,0.0,,Missing_data,Missing_data,,-1,
783,0.0,,Missing_data,Missing_data,,-1,
784,0.0,,Missing_data,Missing_data,,-1,
785,0.0,,Missing_data,Missing_data,,-1,
786,23.26,22.0,3.0,1.0,Missing_data,1,No
787,0.0,24.0,4.0,Missing_data,No,6,No
788,11.63,23.0,3.0,Missing_data,No,1,No
789,2.33,24.0,4.0,Missing_data,No,3,Yes
790,27.91,22.0,3.0,1.0,Missing_data,1,No
791,9.3,24.0,4.0,Missing_data,No,3,No
792,27.91,23.0,3.0,Missing_data,No,1,No
793,0.0,,Missing_data,Missing_data,,-1,
794,32.56,23.0,3.0,Missing_data,No,1,No
795,23.26,23.0,4.0,Missing_data,No,1,No
796,23.26,22.0,4.0,Missing_data,No,1,No
797,69.77,22.0,4.0,Missing_data,No,1,No
798,34.88,23.0,4.0,Missing_data,No,1,No
799,23.26,23.0,4.0,Missing_data,No,1,No
800,139.53,23.0,4.0,Missing_data,No,1,No
801,46.51,24.0,4.0,Missing_data,No,1,No
802,69.77,23.0,4.0,Missing_data,No,1,No
803,13.95,23.0,4.0,Missing_data,No,2,No
804,9.3,23.0,4.0,Missing_data,No,1,No
805,46.51,18.0,4.0,3.0,No,1,No
806,18.6,21.0,4.0,Missing_data,No,1,No
807,23.26,22.0,4.0,Missing_data,No,1,No
808,27.91,22.0,1.0,Missing_data,Yes,1,No
809,18.6,23.0,3.0,Missing_data,No,1,No
810,93.02,24.0,4.0,Missing_data,No,1,No
811,23.26,24.0,4.0,Missing_data,No,1,No
812,27.91,23.0,4.0,Missing_data,Yes,1,No
813,18.6,24.0,3.0,Missing_data,No,1,No
814,16.28,22.0,4.0,Missing_data,No,1,No
815,32.56,20.0,4.0,Missing_data,No,1,No
816,13.95,24.0,3.0,Missing_data,No,1,No
817,18.6,22.0,4.0,Missing_data,No,1,No
818,23.26,22.0,4.0,Missing_data,No,1,No
819,13.95,,Missing_data,Missing_data,No,1,No
820,0.0,,Missing_data,Missing_data,No,1,No
821,139.53,22.0,3.0,Missing_data,Missing_data,1,No
822,18.6,23.0,3.0,Missing_data,No,1,No
823,20.93,22.0,4.0,Missing_data,No,1,No
824,27.91,23.0,4.0,Missing_data,No,1,No
825,37.21,23.0,3.0,Missing_data,No,1,No
826,9.3,24.0,4.0,Missing_data,No,1,No
827,37.21,20.0,4.0,1.0,No,1,No
828,93.02,20.0,3.0,1.0,No,1,No
829,18.6,23.0,4.0,Missing_data,No,1,No
830,23.26,23.0,3.0,Missing_data,No,1,No
831,32.56,23.0,3.0,Missing_data,No,1,No
832,13.95,24.0,4.0,Missing_data,No,1,No
833,0.0,24.0,4.0,Missing_data,No,1,No
834,55.81,24.0,4.0,Missing_data,No,1,No
835,139.53,24.0,4.0,Missing_data,No,1,No
836,23.26,23.0,4.0,Missing_data,No,1,No
837,32.56,20.0,4.0,2.0,Yes,1,No
838,13.95,23.0,4.0,Missing_data,Yes,1,No
839,9.3,22.0,3.0,Missing_data,No,1,No
840,9.3,19.0,3.0,1.0,Yes,2,No
841,0.0,,Missing_data,Missing_data,,-1,
842,37.21,23.0,4.0,Missing_data,Yes,1,No
843,27.91,22.0,3.0,2.0,Yes,1,No
844,23.26,20.0,3.0,1.0,No,1,No
845,4.65,22.0,3.0,Missing_data,No,3,No
846,23.26,20.0,3.0,1.0,No,1,No
847,6.98,23.0,4.0,Missing_data,Yes,1,No
848,37.21,22.0,3.0,Missing_data,No,1,No
849,27.91,20.0,3.0,1.0,No,1,No
850,13.95,,3.0,1.0,No,1,No
851,0.0,,Missing_data,Missing_data,,-1,
852,0.0,,Missing_data,Missing_data,,-1,
853,0.0,,Missing_data,Missing_data,,-1,
854,0.0,,Missing_data,Missing_data,,-1,
855,0.0,,Missing_data,Missing_data,,-1,
856,0.0,,Missing_data,Missing_data,,-1,
857,0.0,24.0,4.0,Missing_data,No,1,No
858,13.95,,Missing_data,Missing_data,No,1,No
859,23.26,20.0,4.0,Missing_data,No,1,No
860,18.6,23.0,2.0,1.0,No,1,No
861,18.6,24.0,4.0,Missing_data,Yes,1,No
862,0.0,,Missing_data,Missing_data,,-1,
863,0.0,,Missing_data,Missing_data,,-1,
864,0.0,,Missing_data,Missing_data,,-1,
865,0.0,,Missing_data,Missing_data,,-1,
866,0.0,,Missing_data,Missing_data,,-1,
867,0.0,,Missing_data,Missing_data,,-1,
868,23.26,,Missing_data,Missing_data,No,1,No
869,18.6,20.0,4.0,Missing_data,No,1,No
870,27.91,20.0,4.0,Missing_data,No,1,No
871,65.12,24.0,4.0,Missing_data,No,1,No
872,93.02,2.0,2.0,1.0,No,1,No
873,23.26,,Missing_data,Missing_data,Yes,1,No
874,18.6,24.0,4.0,1.0,No,1,No
875,69.77,24.0,4.0,Missing_data,Yes,1,No
876,0.0,,4.0,1.0,Yes,1,No
877,69.77,23.0,3.0,Missing_data,No,1,No
878,46.51,24.0,4.0,Missing_data,No,1,No
879,93.02,24.0,4.0,Missing_data,No,1,No
880,27.91,21.0,3.0,Missing_data,No,1,No
881,18.6,24.0,4.0,Missing_data,No,1,No
882,4.65,23.0,4.0,Missing_data,Yes,2,No
883,93.02,24.0,4.0,Missing_data,No,1,No
884,23.26,24.0,3.0,1.0,Yes,1,No
885,93.02,,Missing_data,Missing_data,No,1,No
886,18.6,24.0,4.0,Missing_data,No,1,No
887,37.21,24.0,4.0,Missing_data,Yes,1,No
888,4.65,23.0,4.0,Missing_data,Yes,1,No
889,4.65,20.0,3.0,3.0,No,1,No
890,23.26,24.0,4.0,Missing_data,No,1,No
891,23.26,22.0,4.0,Missing_data,Yes,1,No
892,23.26,23.0,4.0,Missing_data,Yes,1,No
893,0.0,,Missing_data,Missing_data,,-1,
894,46.51,23.0,4.0,Missing_data,Yes,1,No
895,23.26,22.0,4.0,Missing_data,No,1,No
896,23.26,21.0,4.0,Missing_data,Yes,1,No
897,37.21,24.0,4.0,Missing_data,No,1,No
898,0.0,,Missing_data,Missing_data,,-1,
899,23.26,24.0,4.0,Missing_data,Missing_data,1,No
900,18.6,20.0,4.0,1.0,No,1,No
901,6.98,20.0,4.0,Missing_data,No,3,No
902,18.6,23.0,4.0,1.0,No,1,No
903,27.91,5.0,4.0,1.0,No,1,No
904,0.0,,Missing_data,Missing_data,,0,
905,76.74,22.0,2.0,Missing_data,Missing_data,1,No
906,0.0,,Missing_data,Missing_data,,0,
907,23.26,23.0,4.0,Missing_data,No,1,No
908,0.0,23.0,3.0,Missing_data,No,1,No
909,0.0,23.0,4.0,Missing_data,No,6,No
910,13.95,23.0,4.0,Missing_data,No,2,No
911,69.77,23.0,4.0,Missing_data,No,1,No
912,0.0,,Missing_data,Missing_data,,-1,
913,46.51,23.0,4.0,1.0,Yes,1,No
914,41.86,22.0,3.0,2.0,No,1,No
915,186.05,20.0,3.0,1.0,No,1,No
916,69.77,22.0,4.0,Missing_data,No,1,No
917,18.6,16.0,3.0,Missing_data,No,1,No
918,46.51,24.0,4.0,Missing_data,No,1,No
919,37.21,24.0,4.0,Missing_data,No,1,No
920,46.51,22.0,3.0,2.0,No,1,No
921,88.37,23.0,4.0,Missing_data,No,1,No
922,186.05,23.0,3.0,Missing_data,Yes,1,No
923,23.26,22.0,3.0,Missing_data,No,1,No
924,18.6,23.0,3.0,Missing_data,No,1,No
925,18.6,24.0,3.0,Missing_data,No,1,No
926,23.26,22.0,4.0,Missing_data,No,1,No
927,46.51,22.0,4.0,Missing_data,No,1,No
928,37.21,21.0,4.0,Missing_data,No,1,No
929,23.26,23.0,4.0,Missing_data,No,1,No
930,46.51,23.0,4.0,Missing_data,No,1,No
931,0.0,23.0,4.0,Missing_data,No,1,No
932,37.21,23.0,3.0,Missing_data,No,1,No
933,27.91,23.0,3.0,Missing_data,No,1,No
934,46.51,23.0,3.0,Missing_data,No,1,No
935,0.0,23.0,3.0,Missing_data,No,1,No
936,0.0,24.0,4.0,Missing_data,No,1,No
937,0.0,,Missing_data,Missing_data,,-1,
938,18.6,22.0,3.0,Missing_data,No,1,No
939,46.51,20.0,1.0,1.0,No,1,No
940,0.0,23.0,3.0,Missing_data,No,1,No
941,139.53,22.0,4.0,Missing_data,No,1,No
942,18.6,22.0,4.0,Missing_data,No,1,No
943,13.95,20.0,3.0,Missing_data,Yes,1,No
944,69.77,2.0,2.0,1.0,Missing_data,1,No
945,69.77,23.0,4.0,Missing_data,No,1,No
946,46.51,23.0,3.0,Missing_data,No,1,No
947,0.0,,Missing_data,Missing_data,,-1,
948,0.0,,Missing_data,Missing_data,,-1,
949,0.0,,Missing_data,Missing_data,,-1,
950,0.0,,Missing_data,Missing_data,,-1,
951,0.0,,Missing_data,Missing_data,,-1,
952,2.33,14.0,4.0,Missing_data,No,2,No
953,4.65,12.0,1.0,1.0,Missing_data,1,No
954,4.65,,Missing_data,Missing_data,No,2,No
955,4.65,13.0,3.0,Missing_data,No,1,No
956,2.33,12.0,3.0,Missing_data,No,1,No
957,4.65,22.0,4.0,Missing_data,No,1,No
958,18.6,24.0,4.0,Missing_data,No,1,No
959,4.65,22.0,2.0,5.0,No,1,No
960,13.95,,1.0,Missing_data,Yes,1,No
961,11.63,16.0,2.0,6.0,Yes,1,No
962,4.65,24.0,3.0,5.0,No,1,No
963,9.3,23.0,4.0,Missing_data,Yes,1,No
964,2.33,,1.0,Missing_data,No,1,No
965,4.65,24.0,4.0,Missing_data,No,1,No
966,4.65,15.0,2.0,4.0,No,1,No
967,2.33,,Missing_data,Missing_data,No,1,No
968,37.21,24.0,4.0,Missing_data,No,1,No
969,4.65,,4.0,Missing_data,No,1,No
970,2.33,23.0,4.0,Missing_data,Yes,1,No
971,0.0,,Missing_data,Missing_data,,-1,
972,0.0,,Missing_data,Missing_data,,-1,
973,0.0,,Missing_data,Missing_data,,-1,
974,0.0,,Missing_data,Missing_data,,-1,
975,0.0,,Missing_data,Missing_data,,-1,
976,0.0,23.0,4.0,7.0,Yes,6,No
977,4.65,,4.0,Missing_data,No,1,No
978,18.6,20.0,2.0,8.0,Yes,1,No
979,4.65,1.0,1.0,Missing_data,No,1,No
980,0.0,23.0,1.0,Missing_data,No,1,No
981,4.65,,2.0,Missing_data,No,1,No
982,4.65,22.0,4.0,Missing_data,Yes,1,No
983,0.0,,Missing_data,Missing_data,,-1,
984,0.0,,Missing_data,Missing_data,,-1,
985,9.3,22.0,4.0,Missing_data,Yes,1,No
986,0.0,,Missing_data,Missing_data,,-1,
987,6.98,15.0,3.0,Missing_data,Missing_data,1,No
988,4.65,24.0,4.0,Missing_data,No,1,No
989,18.6,24.0,4.0,Missing_data,No,1,No
990,4.65,,4.0,Missing_data,No,2,No
991,4.65,24.0,4.0,Missing_data,No,1,No
992,4.65,12.0,2.0,1.0,No,1,No
993,4.65,,Missing_data,Missing_data,No,1,No
994,4.65,22.0,3.0,Missing_data,No,1,No
995,0.0,,Missing_data,Missing_data,,-1,
996,0.0,,Missing_data,Missing_data,,-1,
997,0.0,,Missing_data,Missing_data,,-1,
998,0.0,,Missing_data,Missing_data,,-1,
999,0.0,,Missing_data,Missing_data,,-1,
1000,0.0,,Missing_data,Missing_data,,-1,
1001,0.0,,Missing_data,Missing_data,,-1,
1002,0.0,,Missing_data,Missing_data,,-1,
1003,0.0,,Missing_data,Missing_data,,-1,
1004,0.0,,Missing_data,Missing_data,,-1,
1005,0.0,,Missing_data,Missing_data,,-1,
1006,0.0,,Missing_data,Missing_data,,-1,
1007,0.0,,Missing_data,Missing_data,,-1,
1008,0.0,,Missing_data,Missing_data,,-1,
1009,0.0,,Missing_data,Missing_data,,-1,
1010,0.0,,Missing_data,Missing_data,,-1,
1011,0.0,,Missing_data,Missing_data,,-1,
1012,0.0,,Missing_data,Missing_data,,-1,
1013,4.65,,Missing_data,Missing_data,Missing_data,1,
1014,0.0,,Missing_data,Missing_data,,-1,
1015,0.0,,Missing_data,Missing_data,,-1,
1016,0.0,,Missing_data,Missing_data,,-1,
1017,0.0,,Missing_data,Missing_data,,-1,
1018,0.0,,Missing_data,Missing_data,,-1,
1019,0.0,,Missing_data,Missing_data,,-1,
1020,0.0,,Missing_data,Missing_data,,-1,
1021,0.0,,Missing_data,Missing_data,,-1,
1022,0.0,,Missing_data,Missing_data,,-1,
1023,0.0,,Missing_data,Missing_data,,-1,
1024,0.0,,Missing_data,Missing_data,,-1,
1025,0.0,,Missing_data,Missing_data,,-1,
1026,0.0,,Missing_data,Missing_data,,-1,
1027,0.0,,Missing_data,Missing_data,,-1,
1028,0.0,,Missing_data,Missing_data,,-1,
1029,0.0,,Missing_data,Missing_data,,-1,
1030,0.0,,Missing_data,Missing_data,,-1,
1031,0.0,,Missing_data,Missing_data,,-1,
1032,0.0,,Missing_data,Missing_data,,-1,
1033,0.0,,Missing_data,Missing_data,,-1,
1034,0.0,,Missing_data,Missing_data,,-1,
1035,0.0,,Missing_data,Missing_data,,-1,
1036,0.0,,Missing_data,Missing_data,,-1,
1037,0.0,,Missing_data,Missing_data,,-1,
1038,0.0,,Missing_data,Missing_data,,-1,
1039,0.0,,Missing_data,Missing_data,,-1,
1040,0.0,,Missing_data,Missing_data,,-1,
1041,0.0,,Missing_data,Missing_data,,-1,
1042,0.0,,Missing_data,Missing_data,,-1,
1043,0.0,,Missing_data,Missing_data,,-1,
1044,0.0,,Missing_data,Missing_data,,-1,
1045,0.0,,Missing_data,Missing_data,,-1,
1046,0.0,,Missing_data,Missing_data,,-1,
1047,0.0,,Missing_data,Missing_data,,-1,
1048,0.0,,Missing_data,Missing_data,,-1,
1049,0.0,,Missing_data,Missing_data,,-1,
1050,0.0,,Missing_data,Missing_data,,-1,
1051,0.0,,Missing_data,Missing_data,,-1,
1052,0.0,,Missing_data,Missing_data,,-1,
1053,0.0,,Missing_data,Missing_data,,-1,
1054,0.0,,Missing_data,Missing_data,,-1,
1055,0.0,,Missing_data,Missing_data,,-1,
1056,0.0,,Missing_data,Missing_data,,-1,
1057,0.0,,Missing_data,Missing_data,,-1,
1058,0.0,,Missing_data,Missing_data,,-1,
1059,0.0,,Missing_data,Missing_data,,-1,
1060,0.0,,Missing_data,Missing_data,,-1,
1061,0.0,,Missing_data,Missing_data,,-1,
1062,0.0,,Missing_data,Missing_data,,-1,
1063,0.0,,Missing_data,Missing_data,,-1,
1064,0.0,,Missing_data,Missing_data,,-1,
1065,0.0,,Missing_data,Missing_data,,-1,
1066,0.0,,Missing_data,Missing_data,,-1,
1067,0.0,,Missing_data,Missing_data,,-1,
1068,0.0,,Missing_data,Missing_data,,-1,
1069,0.0,,Missing_data,Missing_data,,-1,
1070,0.0,,Missing_data,Missing_data,,-1,
1071,0.0,,Missing_data,Missing_data,,-1,
1072,0.0,,Missing_data,Missing_data,,-1,
1073,0.0,,Missing_data,Missing_data,,-1,
1074,0.0,,Missing_data,Missing_data,,-1,
1075,0.0,,Missing_data,Missing_data,,-1,
1076,0.0,,Missing_data,Missing_data,,-1,
1077,0.0,,Missing_data,Missing_data,,-1,
1078,0.0,,Missing_data,Missing_data,,-1,
1079,0.0,,Missing_data,Missing_data,,-1,
1080,0.0,,Missing_data,Missing_data,,-1,
1081,0.0,,Missing_data,Missing_data,,-1,
1082,0.0,,Missing_data,Missing_data,,-1,
1083,0.0,,Missing_data,Missing_data,,-1,
1084,0.0,,Missing_data,Missing_data,No,6,No
