,C22,C64,C88,C117,C119A,C26A,C26B,C68A,C68B,C107A,C107B,C127,C137A,C137B,C172A,C172B,C27A,C27B,C69A,C69B,C108A,C108B,C138A,C138B,C173A,C173B,C29A,C29B,C71A,C71B,C39_Yes,C39_No,C39_0,C81_No,C110_Yes,C140_Yes,C140_No,C17_Pre-paid,C17_Monthly bill,C17_Fixed monthly fee,C17_Pay based on lights and appliances used,C17_Utility estimates consumption,C17_We never used electricity,C17_No bill for electricity,C17_Other,C57_Fixed monthly fee,C57_Pay based on lights and appliances used,C57_No bill for electricity,C57_Other,C41_Yes,C41_No,C83_No,C112_No,C130_No,C142_No,C175_No
27,46.51,0.0,0.0,0.0,0.0,19.0,22.0,,,,,,,,,,1.0,3.0,,,,,,,,,2.0,2.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,27.91,0.0,0.0,0.0,0.0,22.0,23.0,,,,,,,,,,2.0,4.0,,,,,,,,,1.0,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,55.81,0.0,0.0,0.0,0.0,4.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,2.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,13.95,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,9.3,0.0,0.0,0.0,0.0,22.0,23.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,0.0,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,23.26,0.0,0.0,0.0,0.0,22.0,23.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,11.63,0.0,0.0,0.0,0.0,18.0,22.0,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,23.26,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,0.0,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,27.91,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,139.53,0.0,0.0,0.0,0.0,16.0,22.0,,,,,,,,,,3.0,4.0,,,,,,,,,3.0,2.0,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,9.3,0.0,0.0,0.0,0.0,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,9.3,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,0.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,13.95,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,20.93,0.0,0.0,0.0,0.0,,12.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,37.21,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,37.21,0.0,0.0,0.0,0.0,,11.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4.65,0.0,0.0,0.0,0.0,12.0,12.0,,,,,,,,,,3.0,3.0,,,,,,,,,3.0,2.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,18.6,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,20.93,0.0,0.0,0.0,0.0,2.0,14.0,,,,,,,,,,1.0,3.0,,,,,,,,,3.0,2.0,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,4.65,0.0,0.0,0.0,0.0,22.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,4.65,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,27.91,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,93.02,0.0,0.0,0.0,0.0,,12.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,13.95,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,23.26,0.0,0.0,0.0,0.0,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,32.56,0.0,0.0,0.0,0.0,,20.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,4.65,0.0,0.0,0.0,0.0,,12.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,23.26,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,37.21,0.0,0.0,0.0,0.0,2.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,1.0,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,46.51,0.0,0.0,0.0,0.0,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,2.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,116.28,0.0,0.0,0.0,0.0,12.0,22.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,195.35,0.0,0.0,0.0,0.0,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,9.3,0.0,0.0,0.0,0.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,41.86,0.0,0.0,0.0,0.0,,21.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,13.95,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,37.21,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,0.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,23.26,0.0,0.0,0.0,0.0,20.0,21.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,2.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,4.65,0.0,0.0,0.0,0.0,22.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,46.51,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,18.6,0.0,0.0,0.0,0.0,,22.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,9.3,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,23.26,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,0.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,18.6,0.0,0.0,0.0,0.0,,22.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,13.95,0.0,0.0,0.0,0.0,22.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
93,186.05,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,18.6,0.0,0.0,0.0,0.0,,18.0,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,4.65,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,23.26,0.0,0.0,0.0,0.0,15.0,23.0,,,,,,,,,,2.0,4.0,,,,,,,,,3.0,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,18.6,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
98,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.0,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,13.95,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,18.6,0.0,0.0,0.0,0.0,,12.0,,,,,24.0,,,,,,4.0,,,,,,,,,,2.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
102,55.81,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,37.21,0.0,0.0,0.0,0.0,22.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,0.0,0.0,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,55.81,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
105,9.3,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,13.95,0.0,0.0,0.0,0.0,,22.0,,,,,,,,,,,3.0,,,,,,,,,,5.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,27.91,0.0,0.0,0.0,0.0,22.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,46.51,0.0,0.0,0.0,0.0,15.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
109,9.3,0.0,0.0,0.0,0.0,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
